Date_start,Date_end,zodiac,key
1928-06-21,1928-07-22,Cancer,0
1928-07-23,1928-08-22,Leo,0
1928-08-23,1928-09-22,Virgo,0
1928-09-23,1928-10-22,Libra,0
1928-10-23,1928-11-21,Scorpio,0
1928-11-22,1928-12-21,Sagittarius,0
1928-12-22,1928-01-19,Capricorn,0
1928-01-20,1928-02-18,Aquarius,0
1928-02-19,1928-03-20,Pisces,0
1929-03-19,1929-04-20,Aries,0
1929-04-21,1929-05-20,Taurus,0
1929-05-21,1929-06-20,Gemini,0
1929-06-21,1929-07-22,Cancer,0
1929-07-23,1929-08-22,Leo,0
1929-08-23,1929-09-22,Virgo,0
1929-09-23,1929-10-22,Libra,0
1929-10-23,1929-11-21,Scorpio,0
1929-11-22,1929-12-21,Sagittarius,0
1929-12-22,1929-01-19,Capricorn,0
1929-01-20,1929-02-18,Aquarius,0
1929-02-19,1929-03-20,Pisces,0
1930-03-19,1930-04-20,Aries,0
1930-04-21,1930-05-20,Taurus,0
1930-05-21,1930-06-20,Gemini,0
1930-06-21,1930-07-22,Cancer,0
1930-07-23,1930-08-22,Leo,0
1930-08-23,1930-09-22,Virgo,0
1930-09-23,1930-10-22,Libra,0
1930-10-23,1930-11-21,Scorpio,0
1930-11-22,1930-12-21,Sagittarius,0
1930-12-22,1930-01-19,Capricorn,0
1930-01-20,1930-02-18,Aquarius,0
1930-02-19,1930-03-20,Pisces,0
1931-03-19,1931-04-20,Aries,0
1931-04-21,1931-05-20,Taurus,0
1931-05-21,1931-06-20,Gemini,0
1931-06-21,1931-07-22,Cancer,0
1931-07-23,1931-08-22,Leo,0
1931-08-23,1931-09-22,Virgo,0
1931-09-23,1931-10-22,Libra,0
1931-10-23,1931-11-21,Scorpio,0
1931-11-22,1931-12-21,Sagittarius,0
1931-12-22,1931-01-19,Capricorn,0
1931-01-20,1931-02-18,Aquarius,0
1931-02-19,1931-03-20,Pisces,0
1932-03-19,1932-04-20,Aries,0
1932-04-21,1932-05-20,Taurus,0
1932-05-21,1932-06-20,Gemini,0
1932-06-21,1932-07-22,Cancer,0
1932-07-23,1932-08-22,Leo,0
1932-08-23,1932-09-22,Virgo,0
1932-09-23,1932-10-22,Libra,0
1932-10-23,1932-11-21,Scorpio,0
1932-11-22,1932-12-21,Sagittarius,0
1932-12-22,1932-01-19,Capricorn,0
1932-01-20,1932-02-18,Aquarius,0
1932-02-19,1932-03-20,Pisces,0
1933-03-19,1933-04-20,Aries,0
1933-04-21,1933-05-20,Taurus,0
1933-05-21,1933-06-20,Gemini,0
1933-06-21,1933-07-22,Cancer,0
1933-07-23,1933-08-22,Leo,0
1933-08-23,1933-09-22,Virgo,0
1933-09-23,1933-10-22,Libra,0
1933-10-23,1933-11-21,Scorpio,0
1933-11-22,1933-12-21,Sagittarius,0
1933-12-22,1933-01-19,Capricorn,0
1933-01-20,1933-02-18,Aquarius,0
1933-02-19,1933-03-20,Pisces,0
1934-03-19,1934-04-20,Aries,0
1934-04-21,1934-05-20,Taurus,0
1934-05-21,1934-06-20,Gemini,0
1934-06-21,1934-07-22,Cancer,0
1934-07-23,1934-08-22,Leo,0
1934-08-23,1934-09-22,Virgo,0
1934-09-23,1934-10-22,Libra,0
1934-10-23,1934-11-21,Scorpio,0
1934-11-22,1934-12-21,Sagittarius,0
1934-12-22,1934-01-19,Capricorn,0
1934-01-20,1934-02-18,Aquarius,0
1934-02-19,1934-03-20,Pisces,0
1935-03-19,1935-04-20,Aries,0
1935-04-21,1935-05-20,Taurus,0
1935-05-21,1935-06-20,Gemini,0
1935-06-21,1935-07-22,Cancer,0
1935-07-23,1935-08-22,Leo,0
1935-08-23,1935-09-22,Virgo,0
1935-09-23,1935-10-22,Libra,0
1935-10-23,1935-11-21,Scorpio,0
1935-11-22,1935-12-21,Sagittarius,0
1935-12-22,1935-01-19,Capricorn,0
1935-01-20,1935-02-18,Aquarius,0
1935-02-19,1935-03-20,Pisces,0
1936-03-19,1936-04-20,Aries,0
1936-04-21,1936-05-20,Taurus,0
1936-05-21,1936-06-20,Gemini,0
1936-06-21,1936-07-22,Cancer,0
1936-07-23,1936-08-22,Leo,0
1936-08-23,1936-09-22,Virgo,0
1936-09-23,1936-10-22,Libra,0
1936-10-23,1936-11-21,Scorpio,0
1936-11-22,1936-12-21,Sagittarius,0
1936-12-22,1936-01-19,Capricorn,0
1936-01-20,1936-02-18,Aquarius,0
1936-02-19,1936-03-20,Pisces,0
1937-03-19,1937-04-20,Aries,0
1937-04-21,1937-05-20,Taurus,0
1937-05-21,1937-06-20,Gemini,0
1937-06-21,1937-07-22,Cancer,0
1937-07-23,1937-08-22,Leo,0
1937-08-23,1937-09-22,Virgo,0
1937-09-23,1937-10-22,Libra,0
1937-10-23,1937-11-21,Scorpio,0
1937-11-22,1937-12-21,Sagittarius,0
1937-12-22,1937-01-19,Capricorn,0
1937-01-20,1937-02-18,Aquarius,0
1937-02-19,1937-03-20,Pisces,0
